Locality Name,buy_rate,buy_rate_trim,buy_rate_lower,buy_rate_higher,buy_rate_avg,Buy Rates Q/Q,Rent_1B,Rent_1B_trim,Rent_1B_Lower,Rent_1B_Upper,Rent_1B_avg,Rent_1B_persqf,Rent_2B,Rent_2B_trim,Rent_2B_Lower,Rent_2B_Upper,Rent_2B_avg,Rent_2B_persqf,Rent_3B,Rent_3B_trim,Rent_3B_Lower,Rent_3B_Upper,Rent_3B_avg,Rent_3B_persqf
Bhandup (East),"Rs.12,198 - 14,492/sq. ft.","12,198 - 14,492",12198,14492,13345,1.29%,"Rs.17,298 - 20,570","17,298 - 20,570",17298,20570,18934,142%,"Rs.33,150 - 36,550","33,150 - 36,550",33150,36550,34850,261%,"Rs.54,300 - 58,477","54,300 - 58,477",54300,58477,56388.5,423%
Bhandup (West),"Rs.12,750 - 14,322/sq. ft.","12,750 - 14,322",12750,14322,13536,2.24%,"Rs.20,562 - 22,568","20,562 - 22,568",20562,22568,21565,159%,"Rs.29,304 - 33,490","29,304 - 33,490",29304,33490,31397,232%,"Rs.40,256 - 45,288","40,256 - 45,288",40256,45288,42772,316%
Bhayander (East),"Rs.7,055 - 8,330/sq. ft.","7,055 - 8,330",7055,8330,7692.5,3.39%,"Rs.9,282 - 11,050","9,282 - 11,050",9282,11050,10166,132%,"Rs.12,971 - 14,268","12,971 - 14,268",12971,14268,13619.5,177%,,,,,,
Bhayander (West),"Rs.6,928 - 8,712/sq. ft.","6,928 - 8,712",6928,8712,7820,5.14%,,,,,,,,,,,,,,,,,,
Bhivpuri,"Rs.2,168 - 2,678/sq. ft.","2,168 - 2,678",2168,2678,2423,,,,,,,,,,,,,,,,,,,
Bhiwandi,"Rs.3,315 - 4,335/sq. ft.","3,315 - 4,335",3315,4335,3825,-3.26%,"Rs.4,483 - 5,479","4,483 - 5,479",4483,5479,4981,130%,"Rs.8,181 - 9,669","8,181 - 9,669",8181,9669,8925,233%,,,,,,
Boisar,"Rs.2,678 - 3,315/sq. ft.","2,678 - 3,315",2678,3315,2996.5,-2.9%,,,,,,,,,,,,,,,,,,
Bolinj,"Rs.4,122 - 4,548/sq. ft.","4,122 - 4,548",4122,4548,4335,-1.94%,,,,,,,,,,,,,,,,,,
Borivali (East),"Rs.14,662 - 16,702/sq. ft.","14,662 - 16,702",14662,16702,15682,0.27%,"Rs.14,941 - 18,017","14,941 - 18,017",14941,18017,16479,105%,"Rs.26,086 - 30,039","26,086 - 30,039",26086,30039,28062.5,179%,"Rs.38,208 - 44,370","38,208 - 44,370",38208,44370,41289,263%
Borivali (West),"Rs.15,598 - 18,232/sq. ft.","15,598 - 18,232",15598,18232,16915,1.27%,"Rs.15,262 - 18,314","15,262 - 18,314",15262,18314,16788,99%,"Rs.23,113 - 28,016","23,113 - 28,016",23113,28016,25564.5,151%,"Rs.34,193 - 37,301","34,193 - 37,301",34193,37301,35747,211%
Brahmand,"Rs.8,245 - 8,968/sq. ft.","8,245 - 8,968",8245,8968,8606.5,2.54%,"Rs.11,016 - 11,934","11,016 - 11,934",11016,11934,11475,133%,"Rs.15,172 - 17,340","15,172 - 17,340",15172,17340,16256,189%,,,,,,
Breach Candy,"Rs.46,452 - 56,908/sq. ft.","46,452 - 56,908",46452,56908,51680,-7.87%,"Rs.73,480 - 90,643","73,480 - 90,643",73480,90643,82061.5,159%,"Rs.1,19,340 - 1,38,720","1,19,340 - 1,38,720",119340,138720,129030,250%,"Rs.2,02,618 - 2,32,269","2,02,618 - 2,32,269",202618,232269,217443.5,421%
